country,iso_year,iso_week,week_start,spec_processed_nb,inf_all,percent_positive
Canada,2015,2,2015-01-05,16102,4232,26.282449385169542
Canada,2015,3,2015-01-12,12971,3830,29.52740729319251
Canada,2015,4,2015-01-19,10284,2934,28.52975495915986
Canada,2015,5,2015-01-26,11005,2036,18.500681508405272
Canada,2015,6,2015-02-02,8938,1884,21.078541060639964
Canada,2015,7,2015-02-09,8194,1628,19.868196241152063
Canada,2015,8,2015-02-16,8086,1488,18.402176601533515
Canada,2015,9,2015-02-23,7507,1261,16.797655521513256
Canada,2015,10,2015-03-02,7005,1124,16.045681655960028
Canada,2015,11,2015-03-09,6435,1066,16.565656565656568
Canada,2015,12,2015-03-16,5976,1018,17.034805890227577
Canada,2015,13,2015-03-23,6063,1044,17.219198416625435
Canada,2015,14,2015-03-30,4820,796,16.51452282157676
Canada,2015,15,2015-04-06,5129,747,14.564242542405928
Canada,2015,16,2015-04-13,5261,740,14.065766964455426
Canada,2015,17,2015-04-20,4440,559,12.59009009009009
Canada,2015,18,2015-04-27,4089,416,10.173636585962338
Canada,2015,19,2015-05-04,3680,317,8.61413043478261
Canada,2015,20,2015-05-11,2902,233,8.0289455547898
Canada,2015,21,2015-05-18,2577,143,5.5490880869227786
Canada,2015,22,2015-05-25,2424,92,3.7953795379537953
Canada,2015,23,2015-06-01,1969,64,3.2503809040121885
Canada,2015,24,2015-06-08,2034,64,3.146509341199607
Canada,2015,25,2015-06-15,1731,42,2.4263431542461005
Canada,2015,26,2015-06-22,1573,58,3.6872218690400507
Canada,2015,27,2015-06-29,1554,16,1.0296010296010296
Canada,2015,28,2015-07-06,1385,6,0.4332129963898917
Canada,2015,29,2015-07-13,1358,13,0.9572901325478645
Canada,2015,30,2015-07-20,1399,10,0.7147962830593281
Canada,2015,31,2015-07-27,1350,13,0.962962962962963
Canada,2015,32,2015-08-03,1235,14,1.1336032388663968
Canada,2015,33,2015-08-10,1241,6,0.4834810636583401
Canada,2015,34,2015-08-17,1434,13,0.906555090655509
Canada,2015,35,2015-08-24,1360,8,0.5882352941176471
Canada,2015,36,2015-08-31,1496,9,0.6016042780748663
Canada,2015,37,2015-09-07,1404,17,1.2108262108262107
Canada,2015,38,2015-09-14,1777,16,0.9003939223410242
Canada,2015,39,2015-09-21,1985,29,1.4609571788413098
Canada,2015,40,2015-09-28,2279,58,2.5449758666081617
Canada,2015,41,2015-10-05,2511,53,2.1107128634010355
Canada,2015,42,2015-10-12,2599,37,1.4236244709503656
Canada,2015,43,2015-10-19,2967,26,0.8763060330299965
Canada,2015,44,2015-10-26,2961,30,1.0131712259371835
Canada,2015,45,2015-11-02,3238,40,1.2353304508956144
Canada,2015,46,2015-11-09,3217,68,2.113770593720858
Canada,2015,47,2015-11-16,3292,88,2.67314702308627
Canada,2015,48,2015-11-23,3576,55,1.5380313199105144
Canada,2015,49,2015-11-30,3569,30,0.8405715886803026
Canada,2015,50,2015-12-07,3833,63,1.643621184450822
Canada,2015,51,2015-12-14,4013,96,2.392225267879392
Canada,2015,52,2015-12-21,3476,115,3.308400460299195
Canada,2015,53,2015-12-28,4270,183,4.285714285714286
Canada,2016,1,2016-01-04,5371,314,5.8462111338670635
Canada,2016,2,2016-01-11,5315,375,7.055503292568203
Canada,2016,3,2016-01-18,5270,645,12.23908918406072
Canada,2016,4,2016-01-25,5873,933,15.886259152051762
Canada,2016,5,2016-02-01,6739,1386,20.566849680961568
Canada,2016,6,2016-02-08,8324,2067,24.831811629024507
Canada,2016,7,2016-02-15,8653,2484,28.706806887784587
Canada,2016,8,2016-02-22,11246,3697,32.87391072381291
Canada,2016,9,2016-02-29,12232,4193,34.278940483976456
Canada,2016,10,2016-03-07,12933,4655,35.993195700920126
Canada,2016,11,2016-03-14,12714,3994,31.41418908290074
Canada,2016,12,2016-03-21,10431,3132,30.02588438308887
Canada,2016,13,2016-03-28,9989,2822,28.251076183802184
Canada,2016,14,2016-04-04,8830,2045,23.159682899207247
Canada,2016,15,2016-04-11,7302,1514,20.734045466995344
Canada,2016,16,2016-04-18,6189,1146,18.51672321861367
Canada,2016,17,2016-04-25,5330,922,17.29831144465291
Canada,2016,18,2016-05-02,5167,673,13.024966131217342
Canada,2016,19,2016-05-09,4628,553,11.949006050129645
Canada,2016,20,2016-05-16,3911,357,9.128100230120175
Canada,2016,21,2016-05-23,3224,194,6.0173697270471465
Canada,2016,22,2016-05-30,2868,120,4.184100418410042
Canada,2016,23,2016-06-06,2512,55,2.1894904458598723
Canada,2016,24,2016-06-13,2306,25,1.0841283607979184
Canada,2016,25,2016-06-20,1996,24,1.2024048096192386
Canada,2016,26,2016-06-27,1874,13,0.6937033084311632
Canada,2016,27,2016-07-04,1760,12,0.6818181818181818
Canada,2016,28,2016-07-11,1850,10,0.5405405405405406
Canada,2016,29,2016-07-18,1773,18,1.015228426395939
Canada,2016,30,2016-07-25,1515,7,0.46204620462046203
Canada,2016,31,2016-08-01,1561,9,0.5765534913516976
Canada,2016,32,2016-08-08,1544,8,0.5181347150259068
Canada,2016,33,2016-08-15,1769,13,0.7348784624081401
Canada,2016,34,2016-08-22,1665,13,0.7807807807807807
Canada,2016,35,2016-08-29,1862,2,0.10741138560687433
Canada,2016,36,2016-09-05,1630,17,1.0429447852760736
Canada,2016,37,2016-09-12,2103,23,1.0936757013789824
Canada,2016,38,2016-09-19,2538,44,1.7336485421591805
Canada,2016,39,2016-09-26,2761,63,2.2817819630568636
Canada,2016,40,2016-10-03,2982,56,1.8779342723004695
Canada,2016,41,2016-10-10,2875,42,1.4608695652173913
Canada,2016,42,2016-10-17,3457,71,2.053803876193231
Canada,2016,43,2016-10-24,3458,95,2.7472527472527473
Canada,2016,44,2016-10-31,3891,139,3.5723464405037264
Canada,2016,45,2016-11-07,4267,194,4.546519803140379
Canada,2016,46,2016-11-14,4621,202,4.371348193031811
Canada,2016,47,2016-11-21,4732,263,5.557903634826712
Canada,2016,48,2016-11-28,5547,372,6.706327744726879
Canada,2016,49,2016-12-05,5932,576,9.710047201618341
Canada,2016,50,2016-12-12,6868,791,11.517181129877693
Canada,2016,51,2016-12-19,8045,1303,16.196395276569298
Canada,2016,52,2016-12-26,8603,2074,24.107869347901893
Canada,2017,1,2017-01-02,11770,2837,24.103653355989803
Canada,2017,2,2017-01-09,13574,3677,27.08855164284662
Canada,2017,3,2017-01-16,12102,2814,23.252354982647496
Canada,2017,4,2017-01-23,11367,2602,22.890824316002465
Canada,2017,5,2017-01-30,10651,2581,24.232466435076518
Canada,2017,6,2017-02-06,10423,2515,24.12932936774441
Canada,2017,7,2017-02-13,10199,2540,24.90440239239141
Canada,2017,8,2017-02-20,9937,2388,24.031397806178926
Canada,2017,9,2017-02-27,9560,2078,21.736401673640167
Canada,2017,10,2017-03-06,8535,1745,20.44522554188635
Canada,2017,11,2017-03-13,7603,1231,16.19097724582402
Canada,2017,12,2017-03-20,7053,1060,15.029065645824472
Canada,2017,13,2017-03-27,6236,904,14.496472097498398
Canada,2017,14,2017-04-03,6143,778,12.664821748331434
Canada,2017,15,2017-04-10,5148,615,11.946386946386946
Canada,2017,16,2017-04-17,5000,582,11.64
Canada,2017,17,2017-04-24,4807,469,9.75660495111296
Canada,2017,18,2017-05-01,4161,399,9.58904109589041
Canada,2017,19,2017-05-08,3891,325,8.35260858391159
Canada,2017,20,2017-05-15,3870,269,6.9509043927648575
Canada,2017,21,2017-05-22,3220,193,5.9937888198757765
Canada,2017,22,2017-05-29,2989,124,4.148544663767146
Canada,2017,23,2017-06-05,2696,97,3.5979228486646884
